County (copy),FACILITY NAME,Facility Id,COUNTY,TODAY POSITIVE RESIDENTS,CUMULATIVE POSITIVE RESIDENTS,COVID-RELATED RESIDENT DEATHS,TODAY POSITIVE HCW,CUMULATIVE POSITIVE HCW,COVID-RELATED HCW DEATHS,Record,Record (copy)
Alameda,ALAMEDA COUNTY MEDICAL CENTER D/P SNF,140000321,ALAMEDA,0,<11,0,0,0,0,1,1
Alameda,ALAMEDA HOSPITAL - SOUTHSHORE CONVALESCENT,630011864,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,ALAMEDA HOSPITAL D/P SNF,140000686,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,ALAMEDA HEALTHCARE & WELLNESS CENTER,20000043,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,ALL SAINT'S MAUBERT,630013891,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,ALL SAINTS SUBACUTE & TRANSITIONAL CARE,20000070,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,ASHBY CARE CENTER,20000010,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,BANCROFT HEALTHCARE CENTER,20000015,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,BAY AREA HEALTHCARE CENTER,20000135,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,"BAY VIEW REHABILITATION HOSPITAL, LLC",20000026,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,BAYPOINT HEALTHCARE CENTER,20000060,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,BAYWOOD COURT HEALTH CENTER,630011713,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,BELLAKEN SKILLED NURSING CENTER,20001250,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,BERKELEY PINES SKILLED NURSING CENTER,20000028,ALAMEDA,0,18,<11,0,<11,0,1,1
Alameda,BETHESDA HOME,20000029,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,CHAPARRAL HOUSE,20000048,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,CREEKVIEW SKILLED NURSING,630015174,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,CRESTWOOD MANOR - FREMONT,20000053,ALAMEDA,36,48,0,0,17,0,1,1
Alameda,CRESTWOOD TREATMENT CENTER,20000129,ALAMEDA,25,25,0,0,<11,0,1,1
Alameda,CROWN BAY NURSING & REHABILITATION CENTER,20000087,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,20000133,ALAMEDA,0,32,<11,0,12,0,1,1
Alameda,EAST BAY POST-ACUTE,20000116,ALAMEDA,0,33,<11,0,25,0,1,1
Alameda,ELMWOOD CARE CENTER,20000128,ALAMEDA,0,<11,<11,0,<11,0,1,1
Alameda,EXCELL HEALTH CARE CENTER,20000093,ALAMEDA,0,43,<11,0,23,0,1,1
Alameda,FREMONT HEALTHCARE CENTER,20000132,ALAMEDA,0,38,<11,0,<11,0,1,1
Alameda,FRUITVALE HEALTHCARE CENTER,20000124,ALAMEDA,0,11,0,0,11,0,1,1
Alameda,GARFIELD NEUROBEHAVIORAL CENTER,20000125,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,GATEWAY CARE & REHABILITATION CENTER,20000037,ALAMEDA,0,48,19,0,31,0,1,1
Alameda,HAYWARD CONVALESCENT HOSPITAL,20000123,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,HAYWARD HEALTHCARE & WELLNESS CENTER,20000039,ALAMEDA,0,<11,0,0,<11,<11,1,1
Alameda,HAYWARD HILLS HEALTH CARE CENTER,20000047,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,HILLSIDE SENIOR CARE,20000101,ALAMEDA,0,<11,<11,0,<11,0,1,1
Alameda,JONES CONVALESCENT HOSPITAL,20000111,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,KAISER PERMANENTE POST-ACUTE CARE CENTER,20000042,ALAMEDA,0,18,<11,0,<11,0,1,1
Alameda,KYAKAMEENA CARE CENTER,20000112,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,LAKE MERRITT HEALTHCARE CENTER LLC,20000110,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,LAKE PARK RETIREMENT RESIDENCE,20000114,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,MARINA GARDEN NURSING CENTER,20000104,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,MASONIC HOME,20000040,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,MCCLURE POST ACUTE,20000099,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,MEDICAL HILL HEALTHCARE CENTER,20000079,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,MERCY RETIREMENT & CARE CENTER,20000100,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,MOCHO PARK CARE CENTER,630014957,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,MORTON BAKAR CENTER,20000808,ALAMEDA,<11,<11,0,0,<11,0,1,1
Alameda,OAKLAND HEALTHCARE & WELLNESS CENTER,20000115,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,OAKLAND HEIGHTS NURSING AND REHABILITATION,20000880,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,PARK BRIDGE REHABILITATION AND WELLNESS CENTER,630014635,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,PARK CENTRAL CARE AND REHABILITATION CENTER,20000094,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,PARKVIEW HEALTHCARE CENTER,20000090,ALAMEDA,61,61,<11,0,20,<11,1,1
Alameda,PIEDMONT GARDENS HEALTH FACILITY,20000091,ALAMEDA,0,0,0,0,<11,0,1,1
