Facility Number,Visit Date,V Month,V Date,V Year,Facility Name,Address,City,Zip,County,State,Telephone,Facility Type,Section Cited,General section
15601261,1/13/2015,1,13,2015,GOLDEN HOME,34500 BENTLEY COURT,FREMONT,94555,Alameda,CA,(510) 894-1634,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415600836,1/14/2015,1,[],2015,SAKURA GARDENS,2108 ISABELLE AVENUE,SAN MATEO,94403,San Mateo,CA,(650) 525-1795,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
435202159,1/28/2015,1,28,2015,MERRILL GARDENS AT WILLOW GLEN,1420 CURCI DR,SAN JOSE,95126,Santa Clara,CA,(408) 283-0941,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374600880,1/28/2015,1,28,2015,MOUNT SOLEDAD SENIOR CARE FACILITY,2189 CROWNHILL ROAD,SAN DIEGO,92109,San Diego,CA,(858) 274-2461,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
486801089,1/29/2015,1,29,2015,PRIMETIME BOARD & CARE HOME,107 QUARTZ LANE,VALLEJO,94589,Solano,CA,(707) 644-0634,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
157204022,2/25/2015,2,25,2015,DARLINGHAM SENIOR LIVING,807 DARLINGHAM COURT,BAKERSFIELD,93312,Kern,CA,(661) 213-3854,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374601384,2/26/2015,2,26,2015,SANTILLA GUEST HOME,10935 JEFFREY COURT,SAN DIEGO,92126,San Diego,CA,(858) 549-1598,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197606949,3/5/2015,3,5,2015,"RANCHO VISTA MANOR II, RCFE, INC.",39258 DUNBAR STREET,PALMDALE,93551,Los Angeles,CA,(661) 273-0385,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197606845,3/10/2015,3,10,2015,FINE GOLD MANOR RETIREMENT,10537 MAGNOLIA BLVD.,NORTH HOLLYWOOD,91601,Los Angeles,CA,(818) 761-5777,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197606845,3/10/2015,3,10,2015,FINE GOLD MANOR RETIREMENT,10537 MAGNOLIA BLVD.,NORTH HOLLYWOOD,91601,Los Angeles,CA,(818) 761-5777,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197606845,3/10/2015,3,10,2015,FINE GOLD MANOR RETIREMENT,10537 MAGNOLIA BLVD.,NORTH HOLLYWOOD,91601,Los Angeles,CA,(818) 761-5777,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2F),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600819,3/24/2015,3,24,2015,"COMFORT CARE HOME, LLC",870 SAN SIMEON DRIVE,CONCORD,94518,Contra Costa,CA,(925) 680-4682,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336405788,4/14/2015,4,14,2015,CHICAGO HOPE ASSISTED LIVING,25858 NEW CHICAGO,HEMET,92544,Riverside,CA,(951) 663-8514,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197607952,6/25/2015,6,25,2015,ROSE GARDEN VILLA II,1151 MARCELLUS STREET,LONG BEACH,90807,Los Angeles,CA,(562) 428-6084,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198204757,7/1/2015,7,1,2015,MADISON PLACE,22620 MADISON STREET,TORRANCE,90505,Los Angeles,CA,(310) 989-0603,740 - RESIDENTIAL CARE ELDERLY,87212(a)-(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197601303,7/29/2015,7,29,2015,DALY CARE,1159 RAYMOND AVENUE,GLENDALE,91201,Los Angeles,CA,(818) 240-7421,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
347003908,7/30/2015,7,30,2015,FAIR OAKS CARE HOME AT MONTE PARK,8156 MONTE PARK AVENUE,FAIR OAKS,95628,Sacramento,CA,(916) 267-3867,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336401271,7/31/2015,7,31,2015,RETREAT LAS PALMAS,330 W. STEVENS RD.,PALM SPRINGS,92262,Riverside,CA,(760) 323-0611,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374602745,8/12/2015,8,12,2015,AMBASSADOR SENIOR RETREAT IV,10163 EMBASSY WAY,SAN DIEGO,92126,San Diego,CA,(858) 935-9062,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198204387,8/21/2015,8,21,2015,AMERICARE ASSISTED LIVING,15422 ROSELLE AVENUE,LAWNDALE,90260,Los Angeles,CA,(424) 456-7240,740 - RESIDENTIAL CARE ELDERLY,87212(a)-(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374603033,8/27/2015,8,27,2015,BERLAND HOME CARE II,508 BERLAND WAY,CHULA VISTA,91910,San Diego,CA,(619) 205-4606,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336408986,9/28/2015,9,28,2015,LAFAYETTE HOME CARE 5,39396 BRIGHTON ST,MURRIETA,92563,Riverside,CA,(951) 696-7712,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374603287,11/4/2015,11,4,2015,LA JOLLA CASA FIESTA,5426 AVENIDA FIESTA,LA JOLLA,92037,San Diego,CA,(858) 412-3987,740 - RESIDENTIAL CARE ELDERLY,87212,EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198204376,11/20/2015,11,20,2015,MOUNTAIN VIEW COTTAGES - IV,21027 COVINA BLVD.,COVINA,91724,Los Angeles,CA,(626) 966-4842,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600243,12/11/2015,12,11,2015,CASA DE GRACIA,458 TAHOS ROAD,ORINDA,94563,Contra Costa,CA,(925) 254-4535,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336405791,12/17/2015,12,17,2015,FAMILY HOME CARE,31-933 AVENUE LA GAVIOTA,CATHEDRAL CITY,92234,Riverside,CA,(760) 770-4903,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601215,12/18/2015,12,18,2015,MEDALLION CARE HOME II,4102 PLEIADES PLACE,UNION CITY,94587,Alameda,CA,(510) 881-5758,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
