Facility Type,Facility Number,FAC_N2,FAC_ID_Z,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Latitude,Longitude,WUICLASS10,HAZ_CLASS,Risk,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601302,15601302,CA015601302,ACACIA CREEK - UNION CITY,"MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",MARTIN HERTER,(510) 441-3700,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,376,LICENSED,5/20/2010,,37.597566,-122.005396,Med_Dens_Intermix,High,Risky,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,216801686,CA216801686,ALDERSLY,"ALDERSLY/LIFE CARE SERVICES,LLC",GILBERT CARRASCO,(415) 453-7425,326 MISSION AVENUE,SAN RAFAEL,CA,94901,MARIN,21,122,LICENSED,11/5/2004,,37.973126,-122.516364,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,330907913,330907913,CA330907913,ALTAVITA VILLAGE,AIRFORCE VILLAGE WEST INC; ESKATON PROPERTIES INC,"WASLEY-FAIRLEY, SUZANNE (S",(951) 697-2000,17050 ARNOLD DR,RIVERSIDE,CA,92518,RIVERSIDE,18,770,CLOSED,12/22/1989,9/4/2019,33.872335,-117.293684,High_Dens_Interface,Moderate,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803785,496803785,CA496803785,ARBOL RESIDENCES OF SANTA ROSA,HCP SANTA ROSA CA OPCO LLC; LIFE CARE SERVICES LLC,"SORIANO, MARIELE",(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,158,LICENSED,6/1/2019,,38.474962,-122.722879,Med_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500146,191500146,CA191500146,ARTESIA CHRISTIAN HOME,"ARTESIA CHRISTIAN HOME, INC.",MICHELLE ROBISON,(562) 865-5218,11614 EAST 183RD STREET,ARTESIA,CA,90701,LOS ANGELES,28,143,LICENSED,7/1/1971,,33.864753,-118.085943,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,197802543,CA197802543,ATHERTON BAPTIST HOMES,ATHERTON BAPTIST HOMES,MARY MONNIER,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,ALHAMBRA,CA,91801,LOS ANGELES,28,518,LICENSED,3/31/1999,,34.088633,-118.133717,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,421700369,CA421700369,ATTERDAG VILLAGE OF SOLVANG,"SOLVANG LUTHERAN HOME, INC.",CHRIS PARKER,(805) 688-3263,636 N ATTERDAG ROAD,SOLVANG,CA,93463,SANTA BARBARA,29,188,LICENSED,5/28/1993,,34.600923,-120.14005,Med_Dens_Interface,High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,191501662,CA191501662,BRETHREN HILLCREST HOMES,BRETHREN HILLCREST HOMES,MATTHEW NEELEY,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,LA VERNE,CA,91750,LOS ANGELES,28,574,LICENSED,7/2/1976,,34.105429,-117.773862,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,191501668,CA191501668,"BRITISH HOME IN CALIFORNIA LTD, THE","BRITISH HOME IN CALIFORNIA, LTD THE",MARLENE RAINEN,(626) 355-7240,647 MANZANITA AVE,SIERRA MADRE,CA,91024,LOS ANGELES,28,41,LICENSED,5/1/1976,,34.158655,-118.066193,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,565801963,CA565801963,BROOKDALE CAMARILLO,S-H OPCO CAMARILLO LLC; BKD TWENTY-ONE MANAGEMENT,"GONZAGA, VINCENT",(805) 388-8086,6000 SANTA ROSA RD,CAMARILLO,CA,93012,VENTURA,31,140,LICENSED,8/29/2014,,34.226535,-118.985894,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603618,374603618,CA374603618,BROOKDALE CARLSBAD,S-H OPCO CARLSBAD; BKD TWENTY-ONE MANAGMENT,"HIGHTOWER, SASHA",(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,8,125,LICENSED,8/29/2014,,33.174308,-117.324014,Uninhabited_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603617,374603617,CA374603617,BROOKDALE CARMEL VALLEY,S-H OPCO CARMEL VALLEY; BKD TWENTY-ONE MANAGMENT,"MCDONALD, JASON",(858) 259-2222,13101 HARTFIELD AVE,SAN DIEGO,CA,92130,SAN DIEGO,8,125,LICENSED,8/29/2014,,32.956557,-117.230369,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803519,496803519,CA496803519,BROOKDALE FOUNTAINGROVE,EMERITUS CORPORATION,"TOOMER, JEFFREY J.",(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,158,CLOSED,7/31/2014,6/1/2019,38.474962,-122.722879,Med_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608720,197608720,CA197608720,BROOKDALE NORTHRIDGE,EMERITUS CORPORATION,"PACHOREK, CYNDIE",(818) 886-1616,17650 W DEVONSHIRE ST,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,LICENSED,7/31/2014,,34.25744,-118.51931,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426512,336426512,CA336426512,BROOKDALE RANCHO MIRAGE,S-H OPCO RANCHO MIRAGE; BKD TWENTY-ONE MANAGEMENT,"BARTON, ROBERT",(760) 340-5999,72201 COUNTRY CLUB DR,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,135,LICENSED,8/29/2014,,33.756766,-116.404865,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,157203395,157203395,CA157203395,BROOKDALE RIVERWALK,BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS,"WEBSTER, REG",(661) 587-0221,350 CALLOWAY DR,BAKERSFIELD,CA,93312,KERN,24,376,LICENSED,6/26/2006,,35.360791,-119.114778,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198601907,198601907,CA198601907,BROOKDALE SAN DIMAS,EMERITUS CORPORATION,"KNEEDY-CAYEM, KARA",(909) 394-0304,1740 SAN DIMAS AVE,SAN DIMAS,CA,91773,LOS ANGELES,28,131,CLOSED,7/31/2014,5/15/2019,34.07836,-117.817353,High_Dens_NoVeg,High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602870,198602870,CA198602870,BROOKDALE SAN DIMAS,BRE KNIGHT SH CA OWNER LLC; EMERITUS CORPORATION,"KNEEDY-CAYEM, KARA",(909) 394-0304,1740 SAN DIMAS AVENUE,SAN DIMAS,CA,91773,LOS ANGELES,28,131,LICENSED,5/15/2019,,34.07836,-117.817353,High_Dens_NoVeg,High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004721,306004721,CA306004721,BROOKDALE SAN JUAN CAPISTRANO,S-H OPCO SAN JUAN CAPISTRANO; BKD TWENTY-ONE MGT,ROBERT DAYNES,(949) 248-8855,31741 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,125,LICENSED,8/29/2014,,33.50098,-117.654131,Uninhabited_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004693,306004693,CA306004693,BROOKDALE YORBA LINDA,EMERITUS CORPORATION,CARREY BEERS,(714) 777-9666,17803 IMPERIAL HWY,YORBA LINDA,CA,92886,ORANGE,22,135,CLOSED,7/31/2014,6/18/2019,33.895615,-117.82246,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005410,306005410,CA306005410,BROOKDALE YORBA LINDA,BRE KNIGHT SH CA OWNER LLC; EMERITUS CORPORATION,JEFFREY TOOMER,(714) 777-9666,17803 IMPERIAL HIGHWAY,YORBA LINDA,CA,92886,ORANGE,22,135,LICENSED,6/18/2019,,33.895615,-117.82246,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400070,100400070,CA100400070,CALIFORNIA ARMENIAN HOME,CALIFORNIA HOME FOR THE AGED INC,PAUL ROCHA,(559) 251-8414,6720 E KINGS CANYON RD,FRESNO,CA,93727,FRESNO,24,332,LICENSED,3/20/1985,,36.743221,-119.670098,Med_Dens_NoVeg,Non-Wildland/Non-Urban,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270708224,270708224,CA270708224,CANTERBURY WOODS,COVIA COMMUNITIES,ELVYRA ABARE,(831) 373-3111,651 SINEX AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,190,LICENSED,9/15/1989,,36.615272,-121.921812,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191603774,191603774,CA191603774,"CANTERBURY, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,SHARON PEWTRESS,(310) 541-2410,5801 WEST CRESTRIDGE ROAD,RANCHO PALOS VERDES,CA,90274,LOS ANGELES,11,187,LICENSED,3/31/1993,,33.769181,-118.377333,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004555,306004555,CA306004555,CAPRIANA,CAPRIANA OPERATIONS; OAKMONT SR LVG; OAKMONT MGT G,"REYNOLDS, TALYAH",(714) 589-2866,460 LA FLORESTA DR,BREA,CA,92821,ORANGE,22,200,LICENSED,5/14/2013,,33.907687,-117.847276,Uninhabited_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601222,15601222,CA015601222,CARDINAL POINT AT MARINER SQUARE,"CARDINAL PT MARINER, OAKMONT SR LVG; OAKMONT MGT G",GERALD VADNAIS,(510) 337-1033,2431 MARINER SQUARE DR,ALAMEDA,CA,94501,ALAMEDA,15,153,LICENSED,2/28/2006,,37.790877,-122.27758,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600799,374600799,CA374600799,CARLSBAD BY THE SEA,FRONT PORCH COMMUNITIES AND SERVICES,JOAN E. JOHNSON,(760) 729-2377,2855 CARLSBAD BLVD.,CARLSBAD,CA,92008,SAN DIEGO,8,224,LICENSED,8/4/1999,,33.159436,-117.352727,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700110,270700110,CA270700110,CARMEL VALLEY MANOR,NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME,JANE S. IPSEN,(831) 624-1281,8545 CARMEL VALLEY ROAD,CARMEL,CA,93923,MONTEREY,26,258,LICENSED,11/12/1993,,36.531355,-121.827006,Low_Dens_Intermix,Very High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800142,405800142,CA405800142,CASA DE FLORES,"COMPASS HEALTH, INC., DBA",DEAN GOSSELIN,(805) 772-7372,1405 TERESA DRIVE,MORRO BAY,CA,93442,SAN LUIS OBISPO,29,120,LICENSED,2/24/1997,,35.364664,-120.823109,Uninhabited_Veg,Very High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600488,374600488,CA374600488,CASA DE LAS CAMPANAS,"CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",KIMBERLY FINCH-DOMINY,(858) 451-9152,18655 WEST BERNARDO DRIVE,SAN DIEGO,CA,92127,SAN DIEGO,8,582,LICENSED,1/1/1997,,33.051242,-117.074735,High_Dens_Interface,Very High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700160,421700160,CA421700160,CASA DORINDA,MONTECITO RETIREMENT ASSOCIATION,BRIAN MCCAGUE,(805) 969-8011,300 HOT SPRINGS RD.,SANTA BARBARA,CA,93108,SANTA BARBARA,29,325,LICENSED,10/31/1993,,34.428265,-119.63816,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
